name,host_name,neighbourhood,room_type,price_per_night,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,bathrooms,bedrooms,host_response_rate,review_scores_value,host_response_time
"Back Bay Historic Sunny near hospitals, businesses",Wendy,Back Bay,Entire home/apt,130,91,0,0.0,1,173,0,1.0,0,100,4.7,Unknown
1 BR Gem 5min to Train & Airport explore the city,Cecilia,East Boston,Entire home/apt,169,2,79,5.0,1,176,58,1.0,1,100,4.79,within an hour
Modern/chic one-bedroom in eco Smart Home -Room #2,Christian,Dorchester,Private room,102,1,20,0.95,1,0,14,1.5,1,100,4.8,Unknown
Luxury by Fenway Park w/pool - Ask about discounts,Cort,Fenway,Entire home/apt,268,91,0,0.0,2,325,0,1.0,1,100,4.7,within an hour
Luxury 1BR  Fenway Park w/pool - Discounts offered,Cort,Fenway,Entire home/apt,299,91,0,0.0,2,319,0,1.0,1,100,4.7,within an hour
Newly Renovated + Spacious Apt w/ Parking,Philipp,Roxbury,Entire home/apt,203,2,91,4.24,2,335,49,1.0,2,100,4.85,within an hour
Adorable South Boston Prívate Bedroom,Kristine,South Boston,Private room,58,30,2,0.12,4,195,1,1.0,1,100,5.0,within a few hours
Ideal for long stays | Spacious suite in Boston,Naveen,Brighton,Entire home/apt,215,1,89,4.15,38,110,57,1.0,2,100,4.78,within an hour
Brownstone 5 mins from downtown,Lee,Roxbury,Entire home/apt,365,1,2,0.1,6,249,1,2.5,2,92,4.0,within an hour
Stunning Unique And Very Upscale,Adam,Jamaica Plain,Entire home/apt,689,29,2,0.1,95,270,1,2.0,2,92,4.0,within an hour
Full Bedroom D in #1349: JFK/UMass,Sophia,Dorchester,Private room,46,91,0,0.0,14,280,0,0.0,1,100,4.7,within a few hours
Queen Bedroom A in #1234: Allston,Sophia,Allston,Private room,63,91,0,0.0,14,280,0,0.0,1,100,4.7,within a few hours
Beautiful Victorian house with Views. free parking,Tan,Dorchester,Entire home/apt,336,2,38,1.77,1,296,19,2.0,4,100,4.76,within an hour
"Convenient, Brand new,Comfy!",John,East Boston,Private room,190,1,18,0.88,1,268,9,2.0,1,67,4.83,within a day
"Blueground | S Boston, building w/d, nr seaport",Blueground,South Boston,Entire home/apt,450,32,0,0.0,369,235,0,2.0,3,99,4.7,within an hour
(42L4) TD Garden - Perfect Spot!,Paige,Downtown,Entire home/apt,212,1,86,4.01,60,240,43,1.0,1,100,4.73,within an hour
Centrally located 1bed | Newbury Street,Sean,Back Bay,Entire home/apt,241,1,62,3.08,70,254,34,1.0,1,100,4.61,within an hour
Spacious Fenway 1BR,Sean,Fenway,Entire home/apt,600,29,3,0.15,70,113,0,1.0,1,100,5.0,within an hour
Cozy 1BDR Close to Fenway!,Sean,Fenway,Entire home/apt,221,1,75,3.62,70,269,43,1.0,1,100,4.65,within an hour
Back Bay Spacious 1BR!,Sean,Back Bay,Entire home/apt,147,29,0,0.0,70,89,0,1.0,1,100,4.7,within an hour
Spacious 3Br2Br apartment with astonishing view,Greg,Mission Hill,Entire home/apt,839,30,0,0.0,20,365,0,2.0,3,69,4.7,within a few hours
Newly Renovated Large Room,Benjamin,Brighton,Private room,81,91,0,0.0,1,269,0,1.0,1,100,4.7,Unknown
Luxury 2Bed/2 Bath suite in the heart South Boston,Blerina,South Boston,Entire home/apt,268,2,94,4.5,2,182,57,2.0,2,96,4.64,within an hour
Adventure: Therapy - Boston,Edson,East Boston,Entire home/apt,282,2,17,0.81,2,212,11,1.0,2,100,4.71,within an hour
Penthouse 2 Beds /2 Baths luxury in South Boston,Blerina,South Boston,Entire home/apt,291,2,89,4.25,2,170,53,2.0,2,96,4.64,within an hour
"Walk to Berklee, Fenway & Newbury St",Maverick,Fenway,Entire home/apt,131,1,197,9.4,87,354,78,1.0,1,100,4.61,within an hour
Hidden Oasis in Trendy Boston Neighborhood,Lynne,Jamaica Plain,Private room,110,1,38,1.81,1,33,18,1.0,1,100,4.92,within a day
Arc House 1,Winsome Joy,Mattapan,Private room,72,1,10,0.48,2,269,7,1.0,1,100,4.4,within an hour
2 BR Apt close to Boston/Cambridge free parking,Qi,Brighton,Entire home/apt,190,2,53,2.6,1,40,23,1.0,2,100,4.7,within an hour
"Large 3 Bed, 2 Bath in North End",Jodie,North End,Entire home/apt,502,9,4,0.28,20,259,1,2.0,3,95,4.75,within an hour
2bd Condo with 2 KING Size Beds,Jay,Allston,Entire home/apt,193,1,48,2.31,22,358,21,1.0,2,100,4.58,within an hour
Arc House 2,Winsome Joy,Mattapan,Private room,80,1,6,0.29,2,269,5,1.0,1,100,4.33,within an hour
Stylish Fenway Studio,Sean,Fenway,Entire home/apt,271,29,6,0.29,70,113,0,1.0,1,100,4.5,within an hour
Longwood/Fenway Hill Top 2-Levels Loft 1BR Apt,Janice,Mission Hill,Entire home/apt,179,3,67,3.21,4,49,44,1.0,1,100,4.66,within an hour
Newly renovated penthouse 1 bed,Anne,Mission Hill,Entire home/apt,76,91,0,0.0,8,230,0,1.0,1,70,4.7,within a day
Simple 2 Bd/2 bth | Washer/Dryer | Close to Fenway,Sean,Fenway,Entire home/apt,312,29,11,1.44,70,186,11,2.0,2,100,4.45,within an hour
Prime Location by Fenway & Berklee College,Maverick,Fenway,Entire home/apt,129,1,70,3.42,87,345,31,1.0,1,100,4.62,within an hour
"Cozy Dorchester Apartment, Room 2",Kam,Dorchester,Private room,86,1,1,0.05,2,365,0,1.0,1,100,3.0,Unknown
"Cozy Dorchester Apartment, Room 1",Kam,Dorchester,Private room,81,1,3,0.15,2,365,0,1.0,1,100,4.67,Unknown
Cozy Boston Getaway Apartment,Suzana,West Roxbury,Entire home/apt,112,91,0,0.0,2,230,0,1.0,1,100,4.7,within an hour
Four Bedroom Suite Apartment,Matt,Dorchester,Entire home/apt,180,29,0,0.0,19,262,0,4.5,4,100,4.7,within a few hours
Large Bedroom Suite & Private Bathroom 1B,Matt,Dorchester,Private room,68,29,5,0.27,19,273,3,1.5,1,100,4.6,within a few hours
Brownstone Townhouse in Fenway,Glenn,Fenway,Entire home/apt,971,1,56,3.11,1,119,37,3.0,4,100,4.8,within an hour
Cozy Boston: Private Bed & Bath in Dorchester,Giang Thi,Dorchester,Private room,107,2,5,2.5,3,362,5,1.0,1,100,5.0,within an hour
Luxury Apt with Balcony In Seaport,Compass,South Boston Waterfront,Entire home/apt,356,30,1,0.05,29,303,0,2.0,2,96,5.0,within a few hours
Spacious 3 Bed 2.5 Bath Home Top Loc. w/Parking,Nicholas,Chinatown,Entire home/apt,399,2,63,3.14,1,69,37,2.5,3,100,4.59,within an hour
sunny and oversized in quiet area,Jonathan,Dorchester,Private room,63,3,4,0.31,3,341,3,2.0,1,100,3.25,within an hour
Near Harvard Business 1-2,Taskin,Allston,Private room,84,1,10,1.52,16,358,10,1.0,1,100,4.7,within an hour
Near Harvard Business 2-2,Taskin,Allston,Private room,75,1,107,5.2,16,365,62,1.0,1,100,4.53,within an hour
Near Harvard Business 2-3,Taskin,Allston,Private room,74,1,117,5.82,16,359,70,1.0,1,100,4.68,within an hour
(T4) Cute Studio in the South End,Paige,South End,Entire home/apt,225,1,80,3.9,60,241,44,1.0,0,100,4.8,within an hour
Lux 1BR w/ Amenities 1809,Compass,Downtown,Entire home/apt,250,29,1,0.06,29,47,0,1.0,1,96,5.0,within a few hours
Individual bedroom 4,Tasha,Dorchester,Private room,79,1,36,1.75,4,177,16,2.0,1,97,4.11,within an hour
Nice bedroom in a good location,Ricardo,Roslindale,Private room,107,1,30,1.52,1,269,24,1.0,1,100,4.67,within a few hours
Spacious Bedroom + Private Bath 1A,Matt,Dorchester,Private room,90,29,2,0.12,19,300,1,1.5,1,100,4.5,within a few hours
Comfy Bedroom Suite + Private Attached Bath 1D,Matt,Dorchester,Private room,65,29,4,0.22,19,264,2,1.5,1,100,4.0,within a few hours
Cozy Bedroom + Private Bath 1C,Matt,Dorchester,Private room,54,29,4,0.26,19,292,3,1.5,1,100,5.0,within a few hours
[Fabulous Room close to St Elizabeth & Green Line],Mahmut,Brighton,Private room,81,29,8,0.45,5,266,7,2.0,1,100,4.38,within an hour
[Fabulous Room close to St Elizabeth & Green Line],Mahmut,Brighton,Private room,77,2,12,0.88,5,269,9,2.0,1,100,4.08,within an hour
[Fabulous Extra Large Room close t Boston College],Mahmut,Brighton,Private room,81,29,30,2.27,5,130,23,2.0,1,100,4.3,within an hour
Modern Studio | South End,Sean,Back Bay,Entire home/apt,197,29,35,1.72,50,173,13,1.0,0,100,4.69,within an hour
Charming & Cozy Bedroom for Single or Couple,Guifang,West Roxbury,Private room,89,1,38,2.04,4,258,25,2.0,1,100,4.92,within an hour
Stunning 2B luxury condominium on Emerald Necklace,Rohan,Mission Hill,Entire home/apt,139,91,0,0.0,1,146,0,1.0,2,100,4.7,within a few hours
Best location Beacon Hill 2b apt,Liya,Beacon Hill,Entire home/apt,125,29,3,0.29,114,138,3,1.0,2,100,3.67,within an hour
Private Room: Free & Easy Street Parking,Emmi,Roslindale,Private room,77,1,50,2.53,1,14,37,1.5,1,100,4.92,within an hour
G3_Room Near Downtown Boston & BCEC (3 miles) JFK,Dan,Dorchester,Private room,108,29,38,1.9,12,329,9,2.0,1,100,4.87,within an hour
G4_Room Near Downtown Boston & BCEC (3 miles) JFK,Dan,Dorchester,Private room,108,29,19,1.0,12,354,6,2.0,4,100,4.72,within an hour
Boston Duplex w/ Foosball Table: 11 Mi to Downtown,Evolve,Hyde Park,Entire home/apt,264,29,31,1.67,3,331,15,1.0,3,100,4.61,within an hour
Cozy Bedroom with En-Suite Bath 2C,Matt,Dorchester,Private room,54,29,4,0.21,19,138,3,1.5,1,100,4.75,within a few hours
Adyleny,Maria,Dorchester,Private room,48,29,0,0.0,3,226,0,1.0,1,100,4.7,within an hour
Spacious Bedroom + Private Bath 2A,Matt,Dorchester,Private room,84,29,4,0.21,19,284,2,1.5,1,100,4.25,within a few hours
Comfy Bedroom + Private Attached Bath 2D,Matt,Dorchester,Private room,76,29,4,0.21,19,320,2,1.5,1,100,3.25,within a few hours
Large Bedroom + En-suite Bath 2B,Matt,Dorchester,Private room,65,29,2,0.17,19,292,2,1.5,1,100,4.5,within a few hours
Cozy Bedroom with Private Bath 3C,Matt,Dorchester,Private room,60,30,5,0.33,19,104,3,1.5,1,100,5.0,within a few hours
1BR Renovated North End Brownstone,Compass,North End,Entire home/apt,225,9,5,0.26,29,57,4,1.0,1,96,4.4,within a few hours
Peaceful 3BR Home w/ Park & close to Harvard/BC/BU,Jonathan,Allston,Entire home/apt,250,29,12,0.75,4,168,6,1.0,3,90,4.75,within a day
Luxury Penthouse w/ Private Roof Deck By The Ocean,Michal,East Boston,Entire home/apt,256,1,106,5.38,1,43,73,2.0,2,100,4.79,within an hour
"Blueground | Fenway gym, nr T stop & dining",Blueground,Fenway,Entire home/apt,276,32,0,0.0,369,7,0,1.0,0,99,4.7,within an hour
"Blueground | Mission Hill, fully furnished",Blueground,Mission Hill,Entire home/apt,255,32,0,0.0,369,327,0,1.0,1,99,4.7,within an hour
"Blueground | Back Bay, basketball, 2 blocks to t",Blueground,Bay Village,Entire home/apt,345,32,0,0.0,369,176,0,1.0,1,99,4.7,within an hour
"Blueground | Back Bay, gym, close to garden",Blueground,Bay Village,Entire home/apt,357,32,0,0.0,369,3,0,1.0,1,99,4.7,within an hour
Modest Apartment #1337,Tina,Fenway,Entire home/apt,117,91,0,0.0,92,206,0,1.0,1,99,4.7,within a few hours
Convenient Apartment #538,Tina,North End,Entire home/apt,100,91,0,0.0,92,228,0,1.0,1,99,4.7,within a few hours
Cozy Boston Condo | Near T,Daniel,Jamaica Plain,Entire home/apt,203,30,34,1.81,4,262,22,2.0,3,100,4.65,within an hour
Fabulous apartment in West End,Greg,Downtown,Entire home/apt,839,5,0,0.0,20,365,0,1.0,2,69,4.7,within a few hours
G1_Room Near Downtown  Boston With Private Bath,Dan,Dorchester,Private room,108,29,46,2.32,12,339,14,1.0,1,100,4.8,within an hour
G2_Room Near Downtown Boston & BCEC (3 miles) JFK,Dan,Dorchester,Private room,108,29,29,1.45,12,340,4,1.0,1,100,4.93,within an hour
Luxury 2 Br 2 Ba apt Boston Jamica pond,Greg,Mission Hill,Entire home/apt,638,1,2,1.67,20,365,2,2.0,2,69,5.0,within a few hours
Lovely corner 2 BR 2BA apt Boston  hospitals.,Greg,Jamaica Plain,Entire home/apt,321,29,0,0.0,20,365,0,2.0,2,69,4.7,within a few hours
Beautiful rooms near red line!,Rachel,Dorchester,Private room,150,1,1,0.51,1,263,1,1.5,1,100,4.0,within a day
Home-Like 3BR-2BA Apt Near T,Mylinh,Dorchester,Entire home/apt,333,2,60,3.36,10,231,39,2.0,3,97,4.78,within an hour
"TD Garden,Celtics/Bruins, Lil Italy,North End",Boston,Downtown,Entire home/apt,199,2,82,4.26,7,226,45,1.0,2,98,4.5,within an hour
Beautiful Rental Unit in Fort Hill (Boston),Christopher Koffi,Roxbury,Entire home/apt,146,2,89,4.62,1,21,47,1.0,2,100,4.7,within a few hours
"Blueground | Downtown, concierge, w/d & gym",Blueground,Downtown,Entire home/apt,321,32,0,0.0,369,328,0,1.0,1,99,4.7,within an hour
Sunny Bedroom + Private Bath 3D,Matt,Dorchester,Private room,65,30,0,0.0,19,230,0,1.5,1,100,4.7,within a few hours
2 BDR/2b- walk to Seaport & BCEC,Lucio,South Boston,Entire home/apt,339,1,127,6.65,1,197,81,2.0,2,100,4.83,within an hour
Smart Queen Bedr w/ Ensuite Bathr,Jennifer,Dorchester,Private room,71,31,2,0.12,4,60,1,1.0,1,100,4.5,within an hour
Calm Queen Bedr Shared Bathroom,Jennifer,Dorchester,Private room,56,31,4,0.27,4,51,3,1.0,1,100,5.0,within an hour
Luxury water view Boston pond,Greg,Jamaica Plain,Entire home/apt,321,29,0,0.0,20,365,0,2.0,2,69,4.7,within a few hours
Outstanding luxury 2Br 2Ba apartment,Greg,Jamaica Plain,Entire home/apt,321,29,3,0.28,20,365,3,2.0,2,69,3.67,within a few hours
Back-Bay Penthouse Downtown & Parking & GYM,Haroldo,Bay Village,Entire home/apt,562,29,35,1.8,8,90,22,2.0,2,100,4.57,within an hour
Cozy Room close to downtown Boston,Maddie,Roxbury,Private room,68,2,17,1.01,1,267,9,2.0,1,90,4.59,within an hour
Roomy 4bed loft | Family Friendly,Sean,Downtown,Entire home/apt,771,1,97,4.97,46,67,63,2.0,4,100,4.58,within an hour
"Blueground | Back Bay, gym & w/d, nr shopping",Blueground,Bay Village,Entire home/apt,338,32,0,0.0,369,309,0,1.0,1,99,4.7,within an hour
Savin Hill Private Modern Private Room near UMass,Sean,Dorchester,Private room,60,91,0,0.0,4,249,0,1.0,1,100,4.7,within an hour
Modern 1 BR Apt w| Full Kitchen & Private Driveway,Sully And Indira,Mattapan,Entire home/apt,152,2,63,3.23,1,209,30,1.0,1,100,4.6,within an hour
Cozy Room with 2 Beds and Den: Sofa & TV@3rd Floor,Guifang,West Roxbury,Private room,89,1,39,2.01,4,212,29,2.0,1,100,4.92,within an hour
Charming & Cozy Large Room with 2 Single Beds & TV,Guifang,West Roxbury,Private room,89,1,32,1.77,4,269,23,2.0,1,100,5.0,within an hour
Modern Apartment in Boston's Best Neighborhood,Rose,Jamaica Plain,Entire home/apt,234,2,47,2.61,1,23,33,1.0,2,100,4.81,Unknown
Modern & Stylish 1-BR Condo near Downtown,Daniel,Roxbury,Entire home/apt,191,1,71,3.67,3,251,40,1.0,1,100,4.92,within an hour
Near Harvard Business 2-1,Taskin,Allston,Private room,75,1,130,6.71,16,353,85,1.0,1,100,4.65,within an hour
Whole Apartment 2beds/2living room,Jason,Roslindale,Entire home/apt,162,3,19,0.98,2,225,13,1.0,2,100,4.16,within an hour
"(MGH9-2) Relax in Beacon Hill, MGH",Paige,Beacon Hill,Entire home/apt,288,1,61,3.16,60,15,33,1.0,1,100,4.56,within an hour
"TDGarden,Celtics/Bruins, Lil Italy,North End",Boston,North End,Entire home/apt,185,2,85,4.38,7,237,47,1.0,1,98,4.67,within an hour
"(MGH7-2) Escape to Beacon Hill, Close to Hospital!",Paige,Beacon Hill,Entire home/apt,288,1,42,2.98,60,14,31,1.0,1,100,4.55,within an hour
(J7) Cute Studio in Back Bay!,Paige,Back Bay,Entire home/apt,276,1,58,3.17,60,6,39,1.0,0,100,4.41,within an hour
(T6) Boho Studio in the South End,Paige,South End,Entire home/apt,225,1,39,2.03,60,243,24,1.0,0,100,4.46,within an hour
Luxury apt in Boston,Adam,Jamaica Plain,Entire home/apt,599,29,0,0.0,95,90,0,2.0,2,92,4.7,within an hour
Stunning Unique And Very Upscale Boston,Adam,Jamaica Plain,Entire home/apt,804,2,17,0.95,95,267,13,2.0,2,92,4.18,within an hour
Luxury 3Br2Br Jamica pond Boston,Adam,Mission Hill,Entire home/apt,470,3,1,0.17,95,255,1,2.0,3,92,2.0,within an hour
Amazing 2br 2ba unit by the lake,Adam,Jamaica Plain,Entire home/apt,521,3,15,0.83,95,167,13,2.0,2,92,4.6,within an hour
Fabulous 2br 2ba unit lake view,Adam,Jamaica Plain,Entire home/apt,400,3,13,0.7,95,17,7,2.0,2,92,4.38,within an hour
A King Bed | Apartment | Middle of Boston,J Lucky,Roxbury,Entire home/apt,184,1,114,11.18,7,88,114,1.0,1,100,4.81,within an hour
Modern 2BR/2BA Near Seaport & Convention Center,Adam,South Boston Waterfront,Entire home/apt,485,3,10,0.6,95,131,6,2.0,2,92,4.4,within an hour
Spacious 2BR 2BA Condo |Boston Downtown,Adam,Downtown,Entire home/apt,553,4,3,0.33,95,313,3,2.0,2,92,5.0,within an hour
Luxurious 2BR 2BA Back bay heart with amazing view,Adam,Back Bay,Entire home/apt,633,7,9,0.51,95,350,6,2.0,2,92,4.67,within an hour
Luxury 2BR 2BA South end Boston Balcony MGH,Adam,South End,Entire home/apt,506,1,45,2.53,95,244,30,2.0,2,92,4.51,within an hour
Cozy and Cute Value Studio!,Justin And Mandy,South End,Entire home/apt,187,1,9,0.67,15,343,6,1.0,1,100,4.44,within an hour
"(FB2) Fenway 3 Brm, W/D Near Hospitals!",Paige,Fenway,Entire home/apt,375,1,108,5.66,60,222,62,1.0,3,100,4.49,within an hour
3 Bed w/ Free Parking at the Heart of North End,Jodie,Downtown,Entire home/apt,308,3,61,3.41,20,283,47,1.0,3,95,4.52,within an hour
Nice Oasis Nr.Downtown & Airport,Edward,East Boston,Entire home/apt,155,3,48,2.69,12,255,37,1.0,0,100,4.65,within an hour
Luxury water view 2 Br 2Ba Boston,Adam,Jamaica Plain,Entire home/apt,660,29,5,0.28,95,270,2,2.0,2,92,5.0,within an hour
Great 3 Bedroom Close To Boston,Edward,Roslindale,Entire home/apt,192,3,35,1.81,12,170,24,1.0,3,100,4.54,within an hour
(3-ONE) Charming Studio in Back Bay Boston,Paige,Fenway,Entire home/apt,164,1,56,2.89,60,224,34,1.0,0,100,4.64,within an hour
"(F31) Fenway Park, 2 Beds, Sunny, Simple & Clean!",Paige,Fenway,Entire home/apt,304,1,77,4.13,60,174,48,1.0,2,100,4.61,within an hour
Newly Renovated w/ Exposed Brick,Sean,South End,Entire home/apt,189,29,28,1.51,46,270,16,1.0,0,100,4.57,within an hour
H1_Room 4 miles To Downtown Boston/BCEC,Dan,Dorchester,Private room,108,1,39,2.05,12,340,15,2.0,1,100,4.59,within an hour
Luxury 2Br 2Ba Boston Hospitals.,Adam,Jamaica Plain,Entire home/apt,287,2,17,1.5,95,130,17,2.0,2,92,4.71,within an hour
Apartment in Historic Charlestown/view of the city,Aliza,Charlestown,Entire home/apt,125,29,1,0.12,1,94,1,1.0,1,100,5.0,within a few hours
H2_Room 4 miles To Downtown Boston/BCEC,Dan,Dorchester,Private room,108,1,49,2.54,12,343,18,2.0,1,100,4.73,within an hour
Fancy 2Br 2Ba Boston Jamica pond,Adam,Jamaica Plain,Entire home/apt,704,3,8,0.59,95,270,7,2.0,2,92,4.75,within an hour
H3_Room 4 miles To Downtown Boston/BCEC,Dan,Dorchester,Private room,108,1,33,1.75,12,334,6,2.0,1,100,4.73,within an hour
H4_Room 4 miles To Downtown Boston/BCEC,Dan,Dorchester,Private room,108,1,28,1.46,12,337,10,2.0,1,100,4.5,within an hour
"Blueground | South End, in-unit w/d, nr museum",Blueground,South End,Entire home/apt,374,32,0,0.0,369,323,0,1.5,2,99,4.7,within an hour
Individual bedroom 2,Tasha,Dorchester,Private room,80,1,45,2.32,4,361,32,2.0,1,97,4.6,within an hour
Individual bedroom 3,Tasha,Dorchester,Private room,75,1,25,1.84,4,180,21,2.0,1,97,4.04,within an hour
C_Small DoubleNear Downtown Boston (5 miles),Daniel,Dorchester,Private room,108,1,10,0.52,11,302,1,1.5,1,100,4.7,within an hour
A_Small Double Near Downtown Boston (5 miles),Daniel,Dorchester,Private room,108,1,24,1.24,11,289,10,1.5,1,100,4.91,within an hour
B_Triple Bed  Near Downtown Boston (5 miles),Daniel,Dorchester,Private room,108,1,3,0.15,11,327,1,1.5,1,100,5.0,within an hour
Charming 1 Bedroom Apt | Laundry in Unit,Sean,Downtown,Entire home/apt,223,29,6,1.08,46,77,6,1.0,1,100,5.0,within an hour
Chic Modern 2 bed Apartment W/ Exposed Brick,Sean,Downtown,Entire home/apt,232,29,4,0.73,46,77,4,1.0,2,100,4.5,within an hour
Charming & Chic | Studio Apt,Sean,Downtown,Entire home/apt,183,29,9,1.64,46,75,9,1.0,0,100,5.0,within an hour
Boston Central Location Chinatown Famous Nightlife,Natalia,Downtown,Entire home/apt,174,1,57,3.06,2,208,34,1.0,1,100,4.61,within an hour
Sophisticated 2BR/2BA APT Fenway Modern furniture,Adam,Fenway,Entire home/apt,689,6,1,1.0,95,270,1,2.0,2,92,4.0,within an hour
Cozy Fenway 1BR Walk to MIT,Sean,Back Bay,Entire home/apt,164,29,54,2.96,54,113,27,1.0,1,100,4.44,within an hour
Stunning 1BR | Steps to Fenway!,Sean,Fenway,Entire home/apt,216,29,57,2.96,54,190,33,1.0,1,100,4.49,within an hour
Renovated One Bedroom in Back Bay,Jason,Back Bay,Entire home/apt,283,5,36,1.95,18,262,25,1.0,1,100,4.81,within an hour
Cozy & Modern 1 Br | Kenmore Sq!,Sean,Fenway,Entire home/apt,220,29,64,3.68,54,161,35,1.0,1,100,4.47,within an hour
Classic & Chic Apartment | 1 Bedroom,Sean,Downtown,Entire home/apt,144,29,2,0.48,46,59,2,1.0,1,100,4.5,within an hour
Serene South End Studio,Sean,Back Bay,Entire home/apt,200,29,32,1.7,46,359,19,1.0,0,100,4.44,within an hour
Studio Close to Longwood Medical,Sean,Longwood Medical Area,Entire home/apt,179,29,47,2.63,46,113,32,1.0,0,100,4.66,within an hour
Bright & Spacious Fenway Studio,Sean,Fenway,Entire home/apt,141,29,68,3.6,46,0,36,1.0,0,100,4.49,within an hour
D_Triple Bed  Near Downtown Boston (5 miles),Daniel,Dorchester,Private room,108,1,17,0.88,11,249,9,1.5,1,100,4.88,within an hour
H_Triple Bed  Near Downtown Boston (5 miles),Daniel,Dorchester,Private room,108,1,19,1.0,11,239,4,1.5,1,100,4.68,within an hour
G_Small Double Near Downtown Boston (5 miles),Daniel,Dorchester,Private room,108,1,17,0.89,11,152,5,1.5,1,100,4.94,within an hour
F_Triple Bed  Near Downtown Boston (5 miles),Daniel,Dorchester,Private room,108,1,10,0.53,11,252,3,1.5,1,100,4.9,within an hour
E_Small DoubleNear Downtown Boston (5 miles),Daniel,Dorchester,Private room,108,1,26,1.35,11,236,8,1.5,1,100,4.81,within an hour
Theatre District. Bost. Common. DnTown. LongTm.54,Lee,Downtown,Entire home/apt,274,29,77,4.1,12,322,39,1.0,1,100,4.58,within an hour
Studio Apt Steps to Hospitals,Sean,Fenway,Entire home/apt,214,29,56,3.24,46,0,23,1.0,0,100,4.41,within an hour
"Modern, Chic 2 BR Apartment",Sean,Downtown,Entire home/apt,282,29,91,4.95,46,111,52,1.0,2,100,4.62,within an hour
Charming South End Studio Apt,Sean,Back Bay,Entire home/apt,214,29,32,1.68,54,271,16,1.0,0,100,4.63,within an hour
Large Victorian Back Bay 1BR,Sean,Back Bay,Entire home/apt,279,29,3,0.16,54,89,0,1.0,1,100,4.33,within an hour
Wonderful South End Studio,Sean,Back Bay,Entire home/apt,237,29,15,0.82,54,323,1,1.0,0,100,4.33,within an hour
"Airy, Pet-friendly, FiDi studio",Sean,Downtown,Entire home/apt,234,1,60,3.14,54,320,36,1.0,1,100,4.38,within an hour
Petit Garden Level Micro Studio,Sean,Back Bay,Entire home/apt,190,29,38,2.51,54,256,23,1.0,0,100,4.24,within an hour
Sunkissed Studio near South End,Sean,Back Bay,Entire home/apt,186,29,43,2.72,54,266,19,1.0,0,100,4.51,within an hour
South End Serene Studio,Sean,Back Bay,Entire home/apt,233,29,12,0.67,54,267,5,1.0,0,100,4.42,within an hour
Cozy South End Loft,Sean,Back Bay,Entire home/apt,200,29,29,1.58,54,269,11,1.0,0,100,4.55,within an hour
South End Serene Studio,Sean,South End,Entire home/apt,190,29,65,3.5,54,253,37,1.0,0,100,4.58,within an hour
Spacious 2BR | Keyless Entry,Sean,Downtown,Entire home/apt,315,29,87,4.78,54,0,51,2.0,2,100,4.38,within an hour
Theatre District. Bost. Common. DnTown. LongTm.63,Lee,Downtown,Entire home/apt,274,29,88,4.57,12,364,45,1.0,1,100,4.69,within an hour
Red Sox - Fenway. Longwood Medical. NEU. LongTrm09,Lee,Fenway,Entire home/apt,289,29,93,4.84,12,363,49,1.0,1,100,4.71,within an hour
Ideal for long stays | Boston studio on top floor,Naveen,Brighton,Entire home/apt,153,1,61,3.2,38,132,40,1.0,1,100,4.75,within an hour
Top-Floor 2BR: Renovated Bliss!,Paul,Brighton,Entire home/apt,380,29,5,0.33,15,224,2,1.0,2,100,4.4,within an hour
2nd floor Modern Apt,Jason,Roslindale,Entire home/apt,252,3,5,0.27,2,199,4,1.0,2,100,5.0,within an hour
I_Triple Bed Near Downtown Boston (5 miles),Daniel,Dorchester,Private room,108,1,17,0.9,11,250,4,1.5,1,100,4.59,within an hour
J_Triple Bed Near Downtown Boston (5 miles),Daniel,Dorchester,Private room,108,1,18,0.94,11,213,6,1.5,1,100,4.89,within an hour
"Large 3 Bed, 2 Bath in North End; Near Waterfront",Jodie,North End,Entire home/apt,454,3,71,4.45,20,312,59,2.0,3,95,4.76,within an hour
Fancy 2BR 2BA Apt Fenway Boston,Adam,Fenway,Entire home/apt,400,4,29,1.84,95,144,24,2.0,2,92,4.66,within an hour
High-end 3BR 2BA unit in Seaport,Adam,South Boston Waterfront,Entire home/apt,585,3,57,3.19,95,307,43,2.0,3,92,4.7,within an hour
High-end 2BR 2BA unit in Seaport,Adam,South Boston Waterfront,Entire home/apt,450,3,26,1.46,95,336,18,2.0,2,92,4.58,within an hour
Pefect Studio With Flexible Cancellations!,Bay Village,Bay Village,Private room,72,2,6,0.42,22,187,3,1.0,1,100,4.33,within an hour
Gem Studio With Flexible Cancellations!,Bv,Bay Village,Private room,67,3,6,0.47,13,192,5,1.0,0,100,3.33,within an hour
Private Studio in Boston's Bay Village!,Bv,Bay Village,Entire home/apt,130,3,6,0.42,13,186,4,1.0,0,100,4.17,within an hour
"Bay VIllage Suite, Ready To Host!",Bv,Bay Village,Entire home/apt,126,3,10,0.6,13,177,4,1.0,1,100,3.1,within an hour
Bay Village Suites: Looking Forward To Hosting You,Bv,Bay Village,Entire home/apt,126,2,6,0.32,13,175,5,1.0,1,100,2.83,within an hour
"Kitchen, Pool & Full Gym | Spacious 1BR",Churchill,East Boston,Entire home/apt,247,1,1,0.06,7,313,0,1.0,1,90,5.0,within an hour
Stylish Studio Apt | Kitchen | Pool | Gym | Boston,Churchill,East Boston,Entire home/apt,213,1,12,0.66,7,362,7,1.0,0,90,4.0,within an hour
